PassengerId,Survived_pred,Survived_prob
892,0,0.15328517581747494
893,1,0.5
894,0,0.14533161970696895
895,0,0.14542328199361512
896,1,0.5233191437053021
897,0,0.17140024529007056
898,1,0.8504731031353332
899,0,0.19269963811006524
900,1,0.7300549708447284
901,0,0.1284383138811138
902,0,0.14607964576647772
903,0,0.15353943755398233
904,1,0.8866479798725757
905,0,0.13893287240410573
906,1,0.9089255263208472
907,1,0.8850049607422121
908,0,0.1391062738744224
909,0,0.17218757990371392
910,0,0.46417270137255545
911,1,0.6471642259849842
912,0,0.2553787409203115
913,1,0.6194200886402929
914,1,0.903985485301303
915,0,0.2943079181751842
916,1,0.5090613373528309
917,0,0.11905110299254472
918,1,0.9046219091502492
919,0,0.16597309228719426
920,0,0.15377951207958598
921,0,0.15496473985929826
922,0,0.13701308177519766
923,0,0.1805332844868485
924,0,0.432383406949411
925,0,0.4352283269407888
926,0,0.18593042497088794
927,0,0.18603598698003773
928,1,0.5809387309634108
929,1,0.5458231877278295
930,0,0.14464126367110897
931,0,0.16969495126319792
932,0,0.14513856404416522
933,0,0.15314256600109233
934,0,0.1534584312017131
935,1,0.8744271967244868
936,1,0.9139654565273333
937,0,0.14453308983745902
938,0,0.16483080729662666
939,0,0.15195477234281435
940,1,0.83750578270918
941,1,0.6295439359818488
942,0,0.1691426935167994
943,0,0.14389201966137233
944,1,0.7973388767648052
945,1,0.8515504217014259
946,0,0.14262208724029124
947,0,0.1317138443028363
948,0,0.15255198811299372
949,0,0.1445186805990809
950,0,0.11394953041375226
951,1,0.7512739370458773
952,0,0.156676764685217
953,0,0.14558889143778098
954,0,0.15326498582111506
955,1,0.84475540236469
956,1,0.5316991591447248
957,1,0.8759076758533705
958,1,0.83577619753697
959,0,0.15276416339133042
960,0,0.15118618873537817
961,0,0.25526134500880293
962,1,0.8481362932150559
963,0,0.1467011976303659
964,1,0.585588862400249
965,0,0.15342433716273404
966,1,0.7987185632331092
967,0,0.2542409358802946
968,0,0.14609363205119477
969,1,0.834032447829059
970,0,0.14328049383835162
971,1,0.8481362932150559
972,1,0.7580384215061469
973,0,0.4539174083309352
974,0,0.1524060828305636
975,0,0.14607964576647772
976,0,0.13864280209482932
977,0,0.1363175391157974
978,1,0.8511153187031696
979,1,0.5329316844679673
980,1,0.8512637964559743
981,1,0.8691596190271151
982,0,0.4534688192303537
983,0,0.14606898759786613
984,1,0.9264637994404712
985,0,0.14609363205119477
986,0,0.1606784187504109
987,0,0.1445261537480723
988,1,0.6993269173966443
989,0,0.14694452103403446
990,1,0.5400373998538781
991,0,0.15090247012712868
992,1,0.8949173395337263
993,0,0.136064539884866
994,0,0.15195477234281435
995,0,0.14481880226972008
996,1,0.8170948060199174
997,0,0.14925712801150454
998,0,0.15940976701509768
999,0,0.15195477234281435
1000,0,0.1461585779974784
1001,0,0.1510433086290217
1002,0,0.14848085281306767
1003,1,0.8512899022827285
1004,1,0.8666737395587925
1005,1,0.8365751024882423
1006,1,0.7413291186744159
1007,0,0.19577114496097994
1008,0,0.1532018010101556
1009,1,0.8025434766604936
1010,0,0.15830671673966545
1011,1,0.8634793472758185
1012,1,0.7998115665607243
1013,0,0.1544711088682638
1014,1,0.8998462493274443
1015,0,0.14602571970695769
1016,0,0.15195477234281435
1017,1,0.7516387059484061
1018,0,0.14555471737460607
1019,1,0.8022771118669132
1020,0,0.15439320034050236
1021,0,0.14452897935988127
1022,0,0.14993083962457762
1023,0,0.18205757783091472
1024,0,0.18990654774493723
1025,0,0.13692246899322558
1026,0,0.15207482367310432
1027,0,0.14452028045110588
1028,0,0.1554069988336842
1029,0,0.14047797931912104
1030,1,0.554576157435498
1031,0,0.2056793239049686
1032,0,0.14723891785176768
1033,1,0.8699080831938545
1034,0,0.27555218046087276
1035,0,0.1404063088166211
1036,0,0.1542018075169435
1037,0,0.17264029484231144
1038,0,0.14909768503114995
1039,0,0.14556077596835895
1040,0,0.15314256600109233
1041,0,0.1521497580223231
1042,1,0.8961918073886258
1043,0,0.15321893895285615
1044,0,0.13019571884502948
1045,1,0.6256548639661833
1046,0,0.1143822705875255
1047,0,0.14450810199442982
1048,1,0.8490467700945377
1049,1,0.5542193688901249
1050,0,0.1542018075169435
1051,1,0.6743048601349376
1052,1,0.851248854559997
1053,1,0.7289941131766935
1054,1,0.8605211357426014
1055,0,0.14600686346112732
1056,0,0.15421228388588082
1057,1,0.5102876344835315
1058,0,0.18224242404698238
1059,0,0.15990482608330853
1060,1,0.8618767817206002
1061,1,0.5511493863809966
1062,0,0.14604983604066152
1063,0,0.15458436519140303
1064,0,0.12128758320321503
1065,0,0.15320631809840182
1066,0,0.14151061938107076
1067,1,0.9274902035887852
1068,1,0.850460959056997
1069,0,0.2472638266845937
